epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.021,1.08534,2.02409,1.56017,0.69196,0.69586,0.68691,0.39619,1.30338,1.67694,2.14682,0.000553371,0.000553371,0.000553371
2,235.181,1.1759,1.44766,1.6198,0.60732,0.60042,0.60914,0.33004,1.59802,1.83833,2.3425,0.00109806,0.00109806,0.00109806
3,341.238,1.19532,1.29344,1.62859,0.7546,0.71763,0.74408,0.42104,1.46972,1.39928,2.27382,0.00163174,0.00163174,0.00163174
4,446.366,1.16833,1.21908,1.60999,0.81848,0.72645,0.78687,0.49477,1.35285,1.13717,2.07727,0.00161749,0.00161749,0.00161749
5,551.474,1.13654,1.13716,1.57807,0.78675,0.76386,0.79644,0.50207,1.31958,1.04294,2.04344,0.00160099,0.00160099,0.00160099
6,659.031,1.10351,1.07832,1.55184,0.83272,0.76902,0.83019,0.55621,1.20339,1.01436,1.87409,0.00158448,0.00158448,0.00158448
7,762.771,1.05734,1.00978,1.51318,0.84315,0.76621,0.84122,0.5496,1.22745,0.98059,1.86838,0.00156798,0.00156798,0.00156798
8,868.323,1.04555,0.98337,1.4963,0.89366,0.79402,0.86577,0.60291,1.09262,0.81517,1.75164,0.00155148,0.00155148,0.00155148
9,975.869,1.01766,0.9379,1.47725,0.80325,0.78902,0.83453,0.55838,1.15667,0.95814,1.79499,0.00153497,0.00153497,0.00153497
10,1079.78,1.00513,0.92511,1.46625,0.8623,0.83809,0.87796,0.62563,1.08404,0.7791,1.72143,0.00151847,0.00151847,0.00151847
11,1187.49,0.98325,0.9149,1.45342,0.78813,0.80353,0.84187,0.58398,1.05514,0.96933,1.67717,0.00150197,0.00150197,0.00150197
12,1292.24,0.96995,0.86503,1.43854,0.86273,0.82286,0.88278,0.62069,1.09667,0.81505,1.69756,0.00148546,0.00148546,0.00148546
13,1395.48,0.96236,0.85366,1.43333,0.85774,0.82774,0.87507,0.62374,1.03366,0.77441,1.68454,0.00146896,0.00146896,0.00146896
14,1500.78,0.94826,0.84016,1.41793,0.89172,0.85128,0.88335,0.63292,1.06565,0.70988,1.70933,0.00145246,0.00145246,0.00145246
15,1605.28,0.94542,0.82229,1.42237,0.86415,0.83355,0.87715,0.60508,1.08432,0.79389,1.7158,0.00143595,0.00143595,0.00143595
16,1709.62,0.93336,0.80894,1.40322,0.88621,0.8641,0.90041,0.65916,0.99447,0.69573,1.62037,0.00141945,0.00141945,0.00141945
17,1814.15,0.93051,0.80428,1.40639,0.9023,0.86731,0.89657,0.64646,1.02764,0.68044,1.65857,0.00140295,0.00140295,0.00140295
18,1919.47,0.93475,0.80734,1.40701,0.8995,0.88996,0.91375,0.67375,0.95439,0.65017,1.5825,0.00138644,0.00138644,0.00138644
19,2024.71,0.91414,0.77886,1.38704,0.89206,0.86667,0.90664,0.66917,0.98521,0.66876,1.5887,0.00136994,0.00136994,0.00136994
20,2127.97,0.91612,0.7606,1.38443,0.89231,0.87671,0.9159,0.67399,0.96316,0.64941,1.55356,0.00135344,0.00135344,0.00135344
21,2233.72,0.90404,0.75407,1.38236,0.88724,0.89314,0.92034,0.6901,0.93098,0.61328,1.52485,0.00133693,0.00133693,0.00133693
22,2336.11,0.88932,0.7531,1.36883,0.89063,0.88226,0.91556,0.68485,0.95896,0.60706,1.58654,0.00132043,0.00132043,0.00132043
23,2441.75,0.90751,0.75543,1.38203,0.90183,0.87517,0.90991,0.67491,0.96894,0.60636,1.59105,0.00130393,0.00130393,0.00130393
24,2545.08,0.88953,0.73736,1.37061,0.85483,0.88933,0.89651,0.67739,0.95041,0.62307,1.51423,0.00128742,0.00128742,0.00128742
25,2649.02,0.87303,0.71707,1.35854,0.87209,0.88393,0.91803,0.68727,0.93914,0.62406,1.55209,0.00127092,0.00127092,0.00127092
26,2754.64,0.87014,0.72647,1.35632,0.88525,0.8867,0.9171,0.6966,0.90273,0.60515,1.49274,0.00125442,0.00125442,0.00125442
27,2857.36,0.86922,0.72864,1.35149,0.91229,0.8915,0.92471,0.71754,0.87705,0.58147,1.4816,0.00123791,0.00123791,0.00123791
28,2963.95,0.8608,0.70348,1.35194,0.877,0.88974,0.91553,0.69908,0.92753,0.60879,1.52155,0.00122141,0.00122141,0.00122141
29,3068.24,0.87084,0.71788,1.35378,0.89407,0.8897,0.92131,0.70327,0.89839,0.58956,1.51834,0.00120491,0.00120491,0.00120491
30,3172.94,0.84344,0.6806,1.33666,0.90992,0.89658,0.92201,0.70749,0.91071,0.58063,1.50278,0.0011884,0.0011884,0.0011884
31,3277.24,0.84794,0.70266,1.34087,0.90861,0.90563,0.9238,0.71328,0.85892,0.57364,1.44151,0.0011719,0.0011719,0.0011719
32,3380.33,0.85034,0.68637,1.33572,0.91226,0.90541,0.92894,0.71532,0.87448,0.55973,1.4725,0.0011554,0.0011554,0.0011554
33,3485.12,0.84521,0.66747,1.33099,0.91449,0.90469,0.93886,0.72445,0.8533,0.5467,1.44202,0.00113889,0.00113889,0.00113889
34,3588.1,0.84917,0.67037,1.33709,0.90843,0.91708,0.93132,0.71288,0.8596,0.56085,1.47208,0.00112239,0.00112239,0.00112239
